"","state","account_length","area_code","international_plan","voice_mail_plan","number_vmail_messages","total_day_minutes","total_day_calls","total_day_charge","total_eve_minutes","total_eve_calls","total_eve_charge","total_night_minutes","total_night_calls","total_night_charge","total_intl_minutes","total_intl_calls","total_intl_charge","number_customer_service_calls","churn"
"1035","CT",142,"area_code_510","no","yes",38,231.2,125,39.3,174.8,121,14.86,171.2,87,7.7,12.4,2,3.35,4,"no"
"1036","OR",60,"area_code_510","no","no",0,203.7,95,34.63,212.6,122,18.07,177.1,103,7.97,7.9,1,2.13,3,"no"
"1037","AK",141,"area_code_408","no","yes",43,157.8,122,26.83,132.3,108,11.25,137.1,81,6.17,5.6,2,1.51,2,"no"
"1038","IN",168,"area_code_415","no","no",0,160.6,110,27.3,185.2,120,15.74,120.2,104,5.41,9.1,4,2.46,1,"yes"
"1039","NY",138,"area_code_415","yes","no",0,261.1,96,44.39,170.9,120,14.53,71.1,89,3.2,0,0,0,3,"yes"
"1040","WY",88,"area_code_415","no","no",0,138.7,92,23.58,205.8,73,17.49,247.9,119,11.16,9.8,5,2.65,1,"no"
"1041","WI",119,"area_code_415","no","no",0,226.6,126,38.52,143.6,107,12.21,94.9,123,4.27,12.1,5,3.27,1,"no"
"1042","DE",31,"area_code_408","no","no",0,229.1,120,38.95,172.4,79,14.65,243.6,102,10.96,11,4,2.97,3,"no"
"1043","TN",102,"area_code_408","no","no",0,157.4,83,26.76,47.3,102,4.02,160.4,92,7.22,11.4,5,3.08,0,"no"
"1044","DC",149,"area_code_415","no","yes",25,185.6,109,31.55,167.3,89,14.22,171.6,100,7.72,10.7,3,2.89,1,"yes"
"1045","TX",138,"area_code_415","no","no",0,217.2,73,36.92,190.8,127,16.22,133.5,97,6.01,5.2,3,1.4,4,"no"
"1046","DC",118,"area_code_415","no","no",0,183.1,128,31.13,241,93,20.49,211.1,108,9.5,12.5,4,3.38,0,"no"
"1047","TN",222,"area_code_408","no","yes",34,218.5,89,37.15,160.7,76,13.66,181.6,76,8.17,4.9,5,1.32,4,"no"
"1048","MI",130,"area_code_415","no","no",0,143.8,76,24.45,274.8,103,23.36,194.7,105,8.76,12.3,1,3.32,0,"no"
"1049","WA",60,"area_code_415","no","yes",31,223.6,83,38.01,235.6,77,20.03,153,119,6.89,4.7,8,1.27,4,"no"
"1050","ME",90,"area_code_415","no","no",0,189.1,104,32.15,313.9,124,26.68,227.9,128,10.26,8.2,2,2.21,1,"no"
"1051","DE",140,"area_code_415","no","no",0,143,100,24.31,193.4,89,16.44,59.5,81,2.68,12.3,8,3.32,4,"yes"
"1052","CO",101,"area_code_415","no","yes",39,147.2,105,25.02,168.8,96,14.35,165.3,118,7.44,13,4,3.51,1,"no"
"1053","NJ",134,"area_code_415","no","yes",32,224,75,38.08,97.5,103,8.29,211.6,80,9.52,10.7,5,2.89,2,"no"
"1054","OK",88,"area_code_408","yes","no",0,132.9,132,22.59,208.2,82,17.7,260.5,42,11.72,14.4,11,3.89,2,"yes"
"1055","VA",118,"area_code_408","no","no",0,160.3,110,27.25,53.2,92,4.52,130.7,119,5.88,10.5,4,2.84,0,"no"
"1056","TN",93,"area_code_415","no","yes",21,213.8,103,36.35,257.7,72,21.9,218.4,114,9.83,7.2,6,1.94,1,"no"
"1057","HI",232,"area_code_415","no","no",0,248.2,128,42.19,211.2,96,17.95,147.1,117,6.62,10,6,2.7,2,"no"
"1058","PA",137,"area_code_415","no","yes",25,174.6,88,29.68,243.8,118,20.72,259.7,103,11.69,12.2,3,3.29,3,"no"
"1059","WY",3,"area_code_415","no","yes",23,205.5,102,34.94,209.5,83,17.81,182.3,99,8.2,6.4,4,1.73,0,"no"
"1060","RI",137,"area_code_415","no","no",0,209.1,104,35.55,189.4,96,16.1,214.4,83,9.65,14.8,4,4,3,"no"
"1061","RI",42,"area_code_415","no","no",0,251.1,81,42.69,178.3,106,15.16,184.6,90,8.31,12.7,5,3.43,0,"no"
"1062","MD",58,"area_code_408","no","no",0,187.6,113,31.89,217.4,115,18.48,139.7,92,6.29,9.8,5,2.65,3,"no"
"1063","IL",233,"area_code_408","no","no",0,137.3,94,23.34,232.4,87,19.75,206,105,9.27,9.8,4,2.65,1,"no"
"1064","KY",55,"area_code_415","no","yes",37,197.5,89,33.58,228.7,141,19.44,313.4,121,14.1,19.7,2,5.32,1,"no"
"1065","OH",69,"area_code_510","no","no",0,221.6,88,37.67,231.8,87,19.7,211.7,116,9.53,8.6,9,2.32,1,"no"
"1066","VA",100,"area_code_415","no","no",0,200.7,151,34.12,290.8,127,24.72,186.7,105,8.4,10.2,9,2.75,1,"no"
"1067","MT",111,"area_code_415","no","no",0,226.3,82,38.47,178.9,101,15.21,181.5,90,8.17,8.9,4,2.4,0,"no"
"1068","PA",86,"area_code_510","no","no",0,212.8,79,36.18,90.9,145,7.73,152.3,67,6.85,11.9,3,3.21,2,"no"
"1069","NE",105,"area_code_510","no","no",0,213.3,99,36.26,153.1,79,13.01,227.9,98,10.26,10.8,5,2.92,1,"no"
"1070","GA",111,"area_code_408","yes","no",0,177.1,102,30.11,249.1,102,21.17,153.3,66,6.9,8.8,4,2.38,2,"no"
"1071","ME",75,"area_code_408","no","no",0,229.2,59,38.96,142.8,107,12.14,291.6,109,13.12,8.5,5,2.3,0,"no"
"1072","OH",95,"area_code_510","no","yes",24,129.4,120,22,159.8,68,13.58,214.4,83,9.65,12.6,4,3.4,4,"yes"
"1073","ID",137,"area_code_510","no","no",0,203.1,97,34.53,132,76,11.22,250.9,94,11.29,9.2,4,2.48,4,"no"
"1074","KS",116,"area_code_408","yes","no",0,232.2,98,39.47,244.7,91,20.8,151.3,69,6.81,10.6,1,2.86,7,"yes"
"1075","TN",125,"area_code_415","no","no",0,138.5,96,23.55,159.7,117,13.57,212.7,91,9.57,7.7,3,2.08,2,"no"
"1076","WA",65,"area_code_415","no","no",0,189.3,74,32.18,205.3,90,17.45,228.2,78,10.27,8.5,13,2.3,3,"no"
"1077","IN",55,"area_code_415","no","yes",33,141,99,23.97,250.9,109,21.33,284.6,89,12.81,11.7,3,3.16,0,"no"
"1078","MA",86,"area_code_408","no","no",0,118.6,106,20.16,223.5,115,19,94.7,12,4.26,13.3,1,3.59,2,"no"
"1079","VT",100,"area_code_510","no","no",0,254.2,97,43.21,262,88,22.27,256.3,82,11.53,13.6,6,3.67,0,"yes"
"1080","IL",70,"area_code_408","no","no",0,176.5,85,30.01,119.2,93,10.13,227.7,90,10.25,8.7,5,2.35,1,"no"
"1081","ID",67,"area_code_415","no","no",0,234.3,111,39.83,206.4,87,17.54,157.3,101,7.08,5.8,10,1.57,3,"no"
"1082","DE",50,"area_code_510","no","yes",39,147.3,75,25.04,244.8,74,20.81,216.9,101,9.76,13.2,3,3.56,2,"no"
"1083","AK",42,"area_code_415","no","no",0,171,129,29.07,183.9,96,15.63,130.2,90,5.86,4.6,6,1.24,0,"no"
"1084","RI",76,"area_code_510","no","yes",40,177.9,85,30.24,119.3,95,10.14,140.5,83,6.32,10.3,1,2.78,2,"no"
"1085","MO",103,"area_code_415","no","yes",34,240.6,92,40.9,204.2,99,17.36,297,82,13.37,12.7,9,3.43,5,"no"
"1086","NE",90,"area_code_415","no","no",0,114.4,108,19.45,232.8,150,19.79,198.1,78,8.91,8.9,3,2.4,0,"no"
"1087","FL",66,"area_code_510","no","no",0,113.9,112,19.36,271.8,106,23.1,216.7,95,9.75,15.6,3,4.21,2,"no"
"1088","MI",22,"area_code_408","no","no",0,180,65,30.6,207,106,17.6,182.8,111,8.23,8.3,6,2.24,1,"no"
"1089","IA",67,"area_code_408","no","no",0,177.4,102,30.16,215.2,123,18.29,132.4,120,5.96,6.6,4,1.78,4,"yes"
"1090","PA",147,"area_code_510","no","yes",35,110.8,123,18.84,199.2,81,16.93,212.9,77,9.58,8.9,4,2.4,2,"no"
"1091","AR",57,"area_code_415","no","yes",26,138.7,99,23.58,134.5,105,11.43,261.7,95,11.78,13,5,3.51,2,"no"
"1092","KY",7,"area_code_510","no","yes",33,211.8,99,36.01,170.9,110,14.53,244.2,125,10.99,11.2,4,3.02,2,"no"
"1093","MN",85,"area_code_415","no","no",0,234.5,113,39.87,237.3,116,20.17,122.7,110,5.52,12.9,3,3.48,4,"no"
"1094","TX",92,"area_code_510","no","no",0,240.2,86,40.83,107.6,79,9.15,156.6,121,7.05,7.5,4,2.03,1,"no"
"1095","HI",92,"area_code_510","no","no",0,222.4,105,37.81,164,129,13.94,233.3,113,10.5,9.9,8,2.67,1,"no"
"1096","WY",116,"area_code_415","no","yes",42,280.4,95,47.67,174.4,101,14.82,190,65,8.55,9.9,1,2.67,3,"no"
"1097","WI",133,"area_code_415","no","no",0,113.3,137,19.26,160.2,103,13.62,228.8,98,10.3,10.1,7,2.73,2,"no"
"1098","NV",134,"area_code_408","no","no",0,107,146,18.19,220,116,18.7,149.8,108,6.74,7.2,3,1.94,2,"no"
"1099","DC",19,"area_code_415","no","no",0,184.5,131,31.37,201.3,87,17.11,188.9,114,8.5,13.1,10,3.54,1,"no"
"1100","IL",66,"area_code_415","no","yes",31,163.2,106,27.74,267.9,108,22.77,172.6,100,7.77,9.7,5,2.62,1,"no"
"1101","MS",65,"area_code_510","no","no",0,193.8,113,32.95,151.7,106,12.89,208.9,94,9.4,12.6,3,3.4,3,"no"
"1102","WV",104,"area_code_415","no","no",0,185.1,91,31.47,227.3,115,19.32,198.5,79,8.93,12.7,10,3.43,2,"no"
"1103","WY",140,"area_code_408","no","no",0,151.5,106,25.76,175.7,125,14.93,214.1,87,9.63,12.4,9,3.35,3,"no"
"1104","MA",102,"area_code_510","no","no",0,143.7,82,24.43,170.9,83,14.53,310.9,112,13.99,9.8,1,2.65,2,"no"
"1105","OR",101,"area_code_415","yes","no",0,169.5,117,28.82,212,111,18.02,204,120,9.18,9.7,1,2.62,0,"yes"
"1106","ME",62,"area_code_510","no","no",0,211.3,100,35.92,228.4,91,19.41,217.1,77,9.77,6.3,5,1.7,0,"no"
"1107","AR",115,"area_code_415","no","yes",37,184.1,67,31.3,159.4,104,13.55,193.3,121,8.7,13.3,3,3.59,0,"no"
"1108","LA",111,"area_code_408","no","yes",33,154,122,26.18,207.3,123,17.62,186.2,105,8.38,10.8,8,2.92,1,"no"
"1109","MD",119,"area_code_415","no","no",0,209.4,125,35.6,286.3,91,24.34,208.6,73,9.39,8.1,4,2.19,2,"no"
"1110","NJ",121,"area_code_415","no","no",0,166.3,114,28.27,138.8,130,11.8,215.3,108,9.69,10.4,10,2.81,2,"no"
"1111","MT",108,"area_code_415","no","no",0,108.6,128,18.46,325.2,97,27.64,173.6,67,7.81,9.3,6,2.51,0,"no"
"1112","MD",63,"area_code_415","no","yes",25,230.3,82,39.15,165.6,96,14.08,227.7,125,10.25,9,2,2.43,1,"no"
"1113","CT",59,"area_code_415","no","yes",46,200.1,44,34.02,126,78,10.71,146.3,123,6.58,10.6,5,2.86,1,"no"
"1114","OH",82,"area_code_415","no","no",0,179.2,95,30.46,228.9,95,19.46,187.7,100,8.45,13.2,2,3.56,1,"no"
"1115","NJ",126,"area_code_415","no","no",0,261.6,83,44.47,192.9,133,16.4,246.9,50,11.11,7.3,3,1.97,4,"no"
"1116","NV",110,"area_code_510","no","no",0,129.5,94,22.02,92.6,96,7.87,154.3,110,6.94,9.9,5,2.67,3,"no"
"1117","KS",85,"area_code_408","no","no",0,164,111,27.88,229.4,108,19.5,220.7,105,9.93,9.3,2,2.51,1,"no"
"1118","TX",46,"area_code_415","no","no",0,230.7,117,39.22,186.2,84,15.83,182.2,109,8.2,9.2,4,2.48,2,"no"
"1119","MN",44,"area_code_408","no","no",0,207.2,90,35.22,178.6,76,15.18,182,74,8.19,0,0,0,0,"no"
"1120","MT",171,"area_code_408","no","no",0,171.9,99,29.22,249.2,95,21.18,174.9,81,7.87,12.5,4,3.38,1,"no"
"1121","AK",88,"area_code_415","no","yes",37,181.7,88,30.89,237.4,106,20.18,209.1,111,9.41,9.5,5,2.57,2,"no"
"1122","HI",169,"area_code_408","no","no",0,240.7,119,40.92,141.1,102,11.99,120.6,56,5.43,7.7,2,2.08,2,"no"
"1123","TX",48,"area_code_510","no","no",0,198.2,108,33.69,181,70,15.39,238.9,86,10.75,12.1,2,3.27,1,"no"
"1124","ID",65,"area_code_408","no","no",0,96,95,16.32,117,82,9.95,172.9,114,7.78,6.7,3,1.81,3,"no"
"1125","WY",81,"area_code_415","no","no",0,165.2,109,28.08,170.6,96,14.5,205,74,9.23,9.9,4,2.67,0,"no"
"1126","KY",53,"area_code_510","no","no",0,171.5,75,29.16,224.5,111,19.08,187.4,84,8.43,9.7,6,2.62,1,"no"
"1127","AR",72,"area_code_415","no","yes",27,111.7,68,18.99,252.8,106,21.49,255.5,109,11.5,7.8,4,2.11,1,"no"
"1128","OR",100,"area_code_510","no","no",0,152.7,98,25.96,212.4,73,18.05,264.5,90,11.9,7.9,3,2.13,2,"no"
"1129","MN",82,"area_code_415","no","no",0,194.7,105,33.1,210.9,100,17.93,236.9,143,10.66,11.6,3,3.13,3,"no"
"1130","HI",71,"area_code_415","no","no",0,119.9,108,20.38,240.7,82,20.46,151.1,124,6.8,8.1,7,2.19,3,"no"
"1131","LA",103,"area_code_415","no","no",0,222.9,129,37.89,205,87,17.43,141.3,99,6.36,9.9,2,2.67,1,"no"
"1132","RI",87,"area_code_415","no","no",0,210.7,46,35.82,215.6,116,18.33,170.4,79,7.67,13.2,3,3.56,1,"no"
"1133","MD",116,"area_code_408","no","no",0,254.6,107,43.28,249.4,89,21.2,229.6,77,10.33,9,18,2.43,2,"yes"
"1134","MS",140,"area_code_415","no","no",0,265,100,45.05,147.6,89,12.55,247.7,94,11.15,10.7,3,2.89,1,"no"
"1135","TN",93,"area_code_408","no","no",0,172.3,135,29.29,318.7,95,27.09,131.5,104,5.92,11.5,4,3.11,3,"no"
"1136","ID",90,"area_code_415","no","no",0,259.1,140,44.05,124,119,10.54,188.3,79,8.47,12.8,3,3.46,0,"no"
"1137","GA",130,"area_code_415","no","no",0,211.4,91,35.94,191,62,16.24,207.3,109,9.33,11.6,3,3.13,1,"no"
"1138","KS",121,"area_code_408","yes","no",0,175.9,87,29.9,225.3,114,19.15,156.2,113,7.03,10.4,3,2.81,2,"no"
"1139","HI",47,"area_code_510","yes","no",0,135,108,22.95,176.3,111,14.99,144.6,96,6.51,10.5,1,2.84,1,"yes"
"1140","WV",94,"area_code_415","yes","yes",39,115.5,90,19.64,122.5,99,10.41,197.7,110,8.9,7,3,1.89,0,"no"
"1141","MS",76,"area_code_408","no","no",0,193,82,32.81,200.8,109,17.07,135.9,79,6.12,14.4,3,3.89,0,"no"
"1142","MS",69,"area_code_510","no","no",0,167.4,105,28.46,121.5,142,10.33,209.3,83,9.42,16,2,4.32,1,"no"
"1143","SC",117,"area_code_415","no","yes",35,190.7,100,32.42,209.7,107,17.82,202.5,101,9.11,12.4,5,3.35,1,"no"
"1144","KS",70,"area_code_415","no","no",0,325.5,128,55.34,300.3,105,25.53,199.8,93,8.99,5.7,7,1.54,1,"yes"
"1145","ID",130,"area_code_415","no","no",0,139,98,23.63,120.2,116,10.22,160.4,113,7.22,14.5,2,3.92,3,"no"
"1146","AK",109,"area_code_415","no","yes",40,155.9,110,26.5,161.2,99,13.7,229.2,81,10.31,11.5,13,3.11,0,"no"
"1147","MS",115,"area_code_415","no","no",0,182.1,97,30.96,231.1,76,19.64,246.2,103,11.08,15,2,4.05,0,"no"
"1148","NY",114,"area_code_408","no","no",0,139.8,152,23.77,215.9,76,18.35,96.9,111,4.36,7.9,10,2.13,2,"no"
"1149","OH",135,"area_code_510","no","no",0,112.7,123,19.16,280,90,23.8,251.9,110,11.34,10.4,2,2.81,0,"no"
"1150","DE",79,"area_code_415","no","yes",31,173.2,98,29.44,149.5,123,12.71,245.7,91,11.06,11.5,7,3.11,1,"no"
"1151","RI",123,"area_code_408","no","no",0,225.6,102,38.35,225.8,56,19.19,186.7,128,8.4,6.7,2,1.81,1,"no"
"1152","NE",112,"area_code_415","yes","no",0,195.7,123,33.27,141.9,124,12.06,136.4,72,6.14,7.9,6,2.13,1,"no"
"1153","HI",57,"area_code_415","no","no",0,214,100,36.38,209.9,80,17.84,105.1,112,4.73,11.3,1,3.05,0,"no"
"1154","NM",143,"area_code_415","no","no",0,271.7,67,46.19,189.1,155,16.07,101.1,55,4.55,17.2,5,4.64,1,"no"
"1155","UT",107,"area_code_510","no","no",0,257.7,98,43.81,156.5,84,13.3,104.4,123,4.7,9.8,3,2.65,1,"no"
"1156","MD",103,"area_code_415","yes","no",0,133.2,90,22.64,236.8,70,20.13,214.1,120,9.63,12.5,2,3.38,1,"yes"
"1157","IA",157,"area_code_415","no","no",0,248.7,113,42.28,251.8,79,21.4,262.7,46,11.82,7.5,3,2.03,5,"yes"
"1158","KY",120,"area_code_408","no","no",0,180.8,93,30.74,190.1,82,16.16,192.3,66,8.65,10.5,7,2.84,2,"no"
"1159","VT",81,"area_code_415","yes","yes",32,229,80,38.93,221,113,18.79,291.4,91,13.11,12.4,5,3.35,1,"no"
"1160","NM",136,"area_code_408","no","no",0,276.3,94,46.97,226,125,19.21,221.4,87,9.96,7.2,1,1.94,1,"yes"
"1161","VT",83,"area_code_510","no","yes",37,133.1,117,22.63,171.4,89,14.57,218.1,92,9.81,10.9,4,2.94,3,"no"
"1162","PA",137,"area_code_415","no","no",0,248.3,63,42.21,250.4,108,21.28,159.1,94,7.16,9.6,4,2.59,1,"no"
"1163","VT",93,"area_code_415","no","yes",37,230.4,95,39.17,155.5,89,13.22,179,90,8.06,10.4,9,2.81,3,"no"
"1164","OR",103,"area_code_408","no","no",0,185.8,118,31.59,86.8,84,7.38,208.4,115,9.38,10.7,9,2.89,1,"no"
"1165","CA",96,"area_code_415","no","no",0,183.9,88,31.26,109.2,86,9.28,190.2,78,8.56,16.6,7,4.48,2,"no"
"1166","NY",77,"area_code_415","yes","no",0,132.9,86,22.59,168.1,121,14.29,196.3,102,8.83,7.8,3,2.11,0,"no"
"1167","MO",128,"area_code_510","no","no",0,221,109,37.57,219,107,18.62,229.4,113,10.32,8.6,5,2.32,3,"no"
"1168","NM",116,"area_code_510","no","no",0,179,81,30.43,200,116,17,168.6,74,7.59,15.8,7,4.27,1,"no"
"1169","MN",96,"area_code_408","yes","no",0,188.8,119,32.1,216.9,100,18.44,208.5,116,9.38,5.8,3,1.57,3,"no"
"1170","CT",60,"area_code_415","yes","yes",45,135.6,101,23.05,94.9,73,8.07,154,118,6.93,9.8,3,2.65,4,"yes"
"1171","IA",105,"area_code_408","yes","yes",31,172.5,103,29.33,113.6,102,9.66,261.6,104,11.77,10.8,4,2.92,2,"no"
"1172","AL",123,"area_code_415","no","no",0,132.6,100,22.54,198.8,102,16.9,168.9,105,7.6,0,0,0,1,"no"
"1173","GA",84,"area_code_408","no","no",0,127.7,81,21.71,188.4,84,16.01,260,125,11.7,4.7,6,1.27,1,"no"
"1174","NJ",107,"area_code_510","no","no",0,156.3,75,26.57,215.3,93,18.3,118.2,115,5.32,8.8,2,2.38,1,"no"
"1175","CA",86,"area_code_415","no","no",0,234.6,102,39.88,268.3,109,22.81,195.6,102,8.8,11.6,4,3.13,1,"yes"
"1176","VT",115,"area_code_415","no","no",0,202.1,95,34.36,231.6,89,19.69,214.6,165,9.66,13.1,7,3.54,1,"no"
"1177","TN",128,"area_code_510","no","yes",40,272.2,112,46.27,239.9,111,20.39,257.3,124,11.58,11.6,2,3.13,1,"no"
"1178","SD",97,"area_code_415","no","no",0,245.2,109,41.68,165.5,152,14.07,159.2,96,7.16,9.1,8,2.46,1,"no"
"1179","CO",90,"area_code_415","no","no",0,207.6,82,35.29,193.3,105,16.43,149.7,68,6.74,11.2,6,3.02,1,"no"
"1180","KY",22,"area_code_415","no","no",0,222.9,97,37.89,172.6,91,14.67,187.6,99,8.44,10.1,3,2.73,1,"no"
"1181","IA",121,"area_code_415","no","no",0,273.8,96,46.55,263.1,106,22.36,201.5,83,9.07,10.8,3,2.92,1,"yes"
"1182","CT",169,"area_code_510","no","no",0,192.8,98,32.78,273.2,125,23.22,266.3,102,11.98,11.4,6,3.08,2,"no"
"1183","MA",83,"area_code_510","no","no",0,268.7,81,45.68,145.5,100,12.37,185.6,86,8.35,9.4,6,2.54,0,"no"
"1184","NV",87,"area_code_408","no","yes",48,178.8,91,30.4,246.8,106,20.98,262.4,119,11.81,9,8,2.43,1,"no"
"1185","VA",126,"area_code_415","no","yes",24,197.3,82,33.54,167.6,51,14.25,222,89,9.99,7.4,3,2,1,"no"
"1186","NY",61,"area_code_415","no","yes",36,233.9,97,39.76,175.6,133,14.93,177,83,7.97,9.5,4,2.57,1,"no"
"1187","MO",90,"area_code_408","yes","no",0,207.1,87,35.21,208.5,87,17.72,146,95,6.57,4.4,5,1.19,2,"no"
"1188","FL",131,"area_code_408","no","no",0,136.8,84,23.26,179.4,81,15.25,235.2,151,10.58,5,3,1.35,2,"no"
"1189","SC",89,"area_code_415","no","no",0,159.4,126,27.1,207,108,17.6,141.6,121,6.37,11.1,4,3,1,"no"
"1190","IL",71,"area_code_415","no","no",0,112.1,122,19.06,157.9,86,13.42,271.6,104,12.22,11.1,5,3,0,"no"
"1191","NE",166,"area_code_415","no","no",0,238.6,117,40.56,242.8,73,20.64,203.3,130,9.15,10,8,2.7,4,"no"
"1192","AK",146,"area_code_510","yes","no",0,163.5,85,27.8,224.8,149,19.11,253.1,116,11.39,9.8,4,2.65,1,"no"
"1193","TN",90,"area_code_408","yes","no",0,127.2,94,21.62,221.1,108,18.79,110.7,106,4.98,11.2,3,3.02,2,"no"
"1194","NM",59,"area_code_408","no","no",0,145.8,95,24.79,228.3,81,19.41,247.5,87,11.14,9.6,5,2.59,0,"no"
"1195","NV",25,"area_code_415","no","no",0,250.1,108,42.52,221.9,97,18.86,208.5,84,9.38,11.1,3,3,2,"no"
"1196","UT",124,"area_code_510","no","no",0,234.2,110,39.81,199,121,16.92,246.4,135,11.09,7.1,4,1.92,0,"no"
"1197","WV",105,"area_code_510","no","no",0,101.5,83,17.26,193.8,83,16.47,214.3,113,9.64,11.7,4,3.16,3,"no"
"1198","IL",143,"area_code_415","no","yes",26,119.6,133,20.33,247,136,21,227.3,54,10.23,13,3,3.51,1,"no"
"1199","MN",162,"area_code_408","no","no",0,221.9,66,37.72,112.7,109,9.58,176.5,141,7.94,10.7,6,2.89,1,"no"
"1200","HI",56,"area_code_415","no","no",0,158.2,85,26.89,197.9,91,16.82,159.9,133,7.2,7.7,7,2.08,1,"no"
"1201","DC",105,"area_code_510","no","no",0,193.2,139,32.84,260.3,104,22.13,226.4,133,10.19,7.8,2,2.11,1,"no"
"1202","ID",73,"area_code_510","no","yes",33,217.7,108,37.01,245.7,106,20.88,242.9,100,10.93,8.8,6,2.38,1,"no"
"1203","NC",54,"area_code_408","no","no",0,199.8,94,33.97,308,112,26.18,162.6,99,7.32,10.1,4,2.73,0,"no"
"1204","AL",98,"area_code_510","no","no",0,171.9,77,29.22,235.3,90,20,140.3,125,6.31,14.6,4,3.94,2,"no"
"1205","OR",100,"area_code_415","no","yes",31,67.7,67,11.51,147.1,116,12.5,288.3,103,12.97,12.3,2,3.32,6,"yes"
"1206","IL",107,"area_code_408","no","no",0,228.2,90,38.79,214.2,123,18.21,183.1,79,8.24,10.5,4,2.84,4,"no"
"1207","WV",167,"area_code_510","no","no",0,191.5,93,32.56,163.8,76,13.92,189.1,103,8.51,14.1,9,3.81,1,"no"
"1208","MN",49,"area_code_415","no","no",0,171.5,86,29.16,188.8,85,16.05,155.1,82,6.98,8.5,2,2.3,2,"no"
"1209","LA",34,"area_code_408","no","no",0,151.1,92,25.69,211.7,86,17.99,205.8,72,9.26,9.8,4,2.65,0,"no"
"1210","VT",109,"area_code_415","no","no",0,134.3,99,22.83,203.9,103,17.33,297.7,91,13.4,7.6,2,2.05,3,"no"
"1211","IL",109,"area_code_510","no","no",0,117.8,64,20.03,216.2,84,18.38,148.4,59,6.68,10.9,5,2.94,1,"no"
"1212","KS",39,"area_code_408","no","no",0,181.2,71,30.8,344.9,108,29.32,213.6,145,9.61,12.1,2,3.27,3,"no"
"1213","UT",90,"area_code_415","no","no",0,152.3,91,25.89,165,120,14.03,294.3,73,13.24,9,3,2.43,2,"no"
"1214","KY",114,"area_code_408","no","no",0,204.4,91,34.75,239.6,136,20.37,235,64,10.58,11.5,3,3.11,2,"no"
"1215","MT",113,"area_code_415","no","no",0,283.9,98,48.26,137.1,91,11.65,159,110,7.15,11.3,5,3.05,2,"no"
"1216","MA",19,"area_code_415","no","yes",29,142.7,94,24.26,129.9,60,11.04,165.3,65,7.44,10,4,2.7,0,"no"
"1217","NJ",94,"area_code_415","no","no",0,145.4,92,24.72,172.8,103,14.69,183.9,43,8.28,9.3,3,2.51,2,"no"
"1218","WY",69,"area_code_415","no","no",0,211.7,94,35.99,236.1,124,20.07,252.7,90,11.37,7.2,2,1.94,4,"no"
"1219","VT",90,"area_code_415","no","no",0,192.6,129,32.74,191.6,100,16.29,203.1,105,9.14,11.4,2,3.08,3,"no"
"1220","AL",48,"area_code_408","no","no",0,52,60,8.84,132,79,11.22,185.8,85,8.36,12.3,2,3.32,2,"no"
"1221","DE",122,"area_code_415","no","yes",30,237.7,94,40.41,154.7,91,13.15,223.1,98,10.04,9.5,3,2.57,1,"no"
"1222","WV",123,"area_code_408","no","yes",31,203.6,108,34.61,156.9,112,13.34,236.2,114,10.63,12,5,3.24,1,"no"
"1223","IA",81,"area_code_510","no","no",0,192.4,79,32.71,212.7,106,18.08,244.8,83,11.02,8.3,5,2.24,1,"no"
"1224","PA",43,"area_code_408","no","no",0,212.5,88,36.13,274.1,145,23.3,194.6,52,8.76,8.6,6,2.32,0,"no"
"1225","TN",25,"area_code_415","no","no",0,114.4,114,19.45,201.1,97,17.09,238.4,121,10.73,11.6,4,3.13,3,"no"
"1226","NH",170,"area_code_415","no","no",0,222.8,82,37.88,148.2,105,12.6,231.1,75,10.4,13.3,5,3.59,1,"no"
"1227","KY",129,"area_code_415","no","no",0,207.7,75,35.31,191.3,116,16.26,226.7,98,10.2,11.6,6,3.13,2,"no"
"1228","ME",82,"area_code_415","no","yes",23,249.4,117,42.4,195.8,100,16.64,162.2,94,7.3,12.3,2,3.32,1,"no"
"1229","MN",132,"area_code_510","no","yes",33,157.9,84,26.84,163.9,109,13.93,215.4,87,9.69,11.5,3,3.11,3,"no"
"1230","NM",42,"area_code_415","no","no",0,137.9,160,23.44,234.9,107,19.97,166.6,70,7.5,14.3,3,3.86,5,"yes"
"1231","NH",8,"area_code_415","no","no",0,176,97,29.92,234.2,136,19.91,193.5,134,8.71,8.5,5,2.3,1,"no"
"1232","TX",145,"area_code_510","no","no",0,158.8,120,27,352.1,145,29.93,177.6,140,7.99,6.2,6,1.67,2,"no"
"1233","AL",131,"area_code_415","no","no",0,234,117,39.78,209.4,143,17.8,258.8,105,11.65,9.8,3,2.65,1,"no"
"1234","WA",105,"area_code_415","no","no",0,132.3,105,22.49,144.5,89,12.28,195.5,127,8.8,5.4,3,1.46,0,"no"
"1235","MN",90,"area_code_408","no","yes",32,276.6,76,47.02,138.3,90,11.76,279.6,88,12.58,6.8,3,1.84,3,"no"
"1236","NJ",124,"area_code_415","no","no",0,108.2,92,18.39,214.3,83,18.22,185.5,155,8.35,13.2,11,3.56,4,"yes"
"1237","NH",82,"area_code_408","no","no",0,156,94,26.52,295.6,118,25.13,196.9,84,8.86,14.3,3,3.86,0,"no"
"1238","VT",76,"area_code_408","no","no",0,208.5,124,35.45,173,117,14.71,221.1,95,9.95,9.8,3,2.65,0,"no"
"1239","NH",98,"area_code_415","no","no",0,243.4,88,41.38,147.1,155,12.5,156.4,80,7.04,9.7,4,2.62,2,"no"
